"Points:0","Points:1","Points:2"
-0.10415,-0.050861,-0.0057008
-0.10021,-0.021359,-0.045628
-0.10233,-0.0374,-0.038809
-0.099184,-0.029759,-0.043725
-0.10628,-0.051114,-0.012661
-0.10638,-0.044396,-0.033187
-0.10262,-0.023332,-0.045429
-0.11096,-0.056313,-0.0059393
-0.10057,-0.0012092,-0.0446
-0.11155,-0.025051,-0.049637
-0.1148,-0.058668,-0.0070662
-0.10324,-0.016791,-0.038299
-0.10152,-0.045344,-0.0046821
-0.10104,-0.011096,-0.052358
-0.10734,-0.035906,-0.039366
-0.11166,-0.046306,-0.033083
-0.10274,-0.026591,-0.027748
-0.10281,-0.021265,-0.047347
-0.10131,-0.031557,-0.039775
-0.10583,-0.041665,-0.030463
-0.10007,-0.0043138,-0.050455
-0.1032,-0.0083302,-0.028948
-0.099962,-0.0056697,-0.0091086
-0.10634,-0.023229,-0.05117
-0.10773,-0.0041632,-0.038562
-0.10838,-0.04446,-0.030285
-0.10401,-0.0080256,-0.041037
-0.099367,-0.0029055,-0.0025132
-0.11656,-0.059605,-0.0068118
-0.10683,-0.048308,-0.017325
-0.10893,-0.028136,-0.04241
-0.10057,-0.014264,-0.0064392
-0.10027,-0.0082488,-0.01885
-0.11526,-0.039318,-0.042174
-0.099309,-0.035669,-0.0016764
-0.10156,-0.0034749,-6.6384e-05
-0.10447,-0.028344,-0.0017268
-0.09902,-0.044944,-0.028515
-0.10949,-0.054277,-0.001431
-0.11627,-0.047391,-0.036521
-0.10865,-0.023129,-0.027611
-0.099796,-0.0106,-0.0061358
-0.1111,-0.058035,-0.0014632
-0.10933,-0.025025,-0.048288
-0.11324,-0.014152,-0.054627
-0.10554,0.0014156,-3.6132e-05
-0.10991,-0.014772,-0.03425
-0.11348,-0.049771,-0.0076932
-0.10474,-0.019733,-0.050124
-0.10886,-0.034436,-0.0032298
-0.10163,-0.0081481,-0.032688
-0.10048,-0.013382,-0.014749
-0.106,-0.021044,-0.030271
-0.10814,-0.00068521,-0.022045
-0.11117,-0.033425,-0.0032472
-0.11522,-0.010837,-0.058796
-0.10647,-0.030221,-0.033816
-0.11837,-0.04768,-0.021774
-0.10406,-0.019247,-0.049688
-0.12108,-0.057409,-0.022425
-0.10963,-0.001588,-0.039756
-0.11269,-0.025491,-0.035043
-0.11171,-0.02063,-0.0019381
-0.11856,-0.045572,-0.038617
-0.10189,-0.03814,-0.0033872
-0.10297,-0.01821,-0.0077959
-0.11163,-0.021014,-0.0053949
-0.10567,-0.0058921,-0.0027998
-0.10651,-0.026635,-0.047089
-0.099946,-0.017684,-0.050373
-0.10644,-0.013468,-0.020448
-0.10661,-0.017795,-0.029754
-0.11245,-0.0022461,-0.00035255
-0.10679,-0.0085488,-0.052838
-0.10887,-0.010155,-0.047493
-0.10667,-0.027247,-0.049381
-0.12132,-0.047936,-0.01027
-0.106,-0.032377,-0.0029506
-0.10542,-0.0029538,-9.2564e-05
-0.10558,0.00022153,0.00062447
-0.11682,-0.053436,-0.0031509
-0.11223,-0.0054417,-0.043348
-0.11067,-0.0031174,-0.020361
-0.10026,-0.033347,-0.04225
-0.11188,-0.015314,-0.019353
-0.11563,-0.028554,-0.018174
-0.11447,-0.035608,-0.010447
-0.098639,-0.016494,-0.0080526
-0.10733,-0.020347,-0.0066337
-0.10823,-0.0078675,-0.00064562
-0.099731,-0.00017851,0.00039152
-0.098891,-0.0038866,-0.0059892
-0.11207,-0.0093769,-0.056466
-0.11135,-2.8664e-05,0.0013374
-0.10307,-0.017945,-0.023561
-0.12082,-0.045028,-0.039905
-0.11859,-0.027496,-0.029755
-0.12424,-0.0050781,-0.057366
-0.1117,-0.029827,-0.0062073
-0.10896,-0.0094938,-0.028467
-0.11477,-0.058495,-0.010508
-0.11689,-0.013205,-0.043601
-0.11895,-0.046244,-0.018241
-0.12664,-0.056093,-0.018246
-0.11522,-0.0083769,-0.043531
-0.098779,-0.0073062,-0.014767
-0.11685,-0.03051,-0.017889
-0.10084,-0.003903,-0.023741
-0.10416,-0.018769,-0.0044051
-0.1184,-0.0092949,-0.022175
-0.1156,-0.0024788,-0.048118
-0.11366,-0.019991,-0.0021242
-0.1134,-0.0071247,-0.0079042
-0.1158,-0.039531,-0.03557
-0.10539,-0.052131,-0.01681
-0.10519,-0.030732,-0.028525
-0.11681,-0.012244,-0.029568
-0.10699,-0.01514,-0.0086692
-0.1131,-0.0094348,-0.0011403
-0.10598,-0.040893,-0.0058819
-0.1257,-0.043783,-0.032756
-0.11697,-0.023188,-0.0084487
-0.11656,-0.0019258,-0.0052262
-0.10537,-0.033852,-0.010326
-0.1184,-0.01608,-0.026011
-0.12501,-0.011172,-0.046504
-0.11343,-0.031861,-0.022422
-0.11423,-0.00083388,-0.0081743
-0.12571,-0.022176,-0.058755
-0.098509,-0.03417,-0.031047
-0.11737,-0.03869,-0.010632
-0.1232,-0.041811,-0.0073016
-0.12104,-0.042788,-0.030522
-0.11579,-0.014144,-0.050095
-0.099766,-0.028845,-0.011633
-0.12399,-0.015218,-0.059132
-0.11971,-0.054663,-0.027861
-0.11854,-0.017618,-0.054052
-0.10568,-0.0078942,-0.02687
-0.10249,-0.019754,-0.011758
-0.11687,-0.0042255,-0.0036868
-0.10521,-0.0021417,-0.0010732
-0.12276,-0.056656,-0.022353
-0.11924,-0.024207,-0.0096221
-0.12004,-0.039404,-0.025516
-0.10236,-0.031841,-0.016088
-0.11359,-0.053419,-0.011077
-0.11369,-0.012343,-0.0013784
-0.12062,-0.021019,-0.0084026
-0.10547,-0.045244,-0.026059
-0.11922,-0.0050663,-0.0023043
-0.10387,-0.042512,-0.032872
-0.10332,-0.0013993,-0.0004277
-0.11904,-0.060005,-0.014664
-0.12279,-0.0075128,-0.060172
-0.11683,-0.0042768,-0.0033631
-0.12456,-0.022399,-0.042613
-0.10453,-0.00074762,0.00052257
-0.10031,-0.011365,-0.012505
-0.11504,-0.00072944,-0.0027466
-0.12972,-0.036024,-0.046237
-0.10104,-0.021772,-0.02267
-0.098736,-0.01285,-0.0049248
-0.12542,-0.028002,-0.030158
-0.10985,-0.01729,-3.8411e-06
-0.12147,-0.053627,-0.010838
-0.12114,-0.045734,-0.039501
-0.10788,-0.021617,-0.022854
-0.1,-0.0026511,-0.0050474
-0.12643,-0.049681,-0.0034123
-0.12238,-0.036387,-0.024235
-0.10702,-0.0032189,-0.0012996
-0.11871,-0.016078,-0.0018924
-0.11407,-0.03849,-0.014323
-0.12053,-0.014769,-0.058469
-0.11621,-0.050207,-0.015255
-0.1193,-0.00046411,0.0011139
-0.1173,-0.043594,-0.03788
-0.13129,-0.017962,-0.063216
-0.10045,-0.0061683,-0.031667
-0.11008,-0.00069741,-0.00078943
-0.10331,-0.036268,-0.035298
-0.11912,-0.0016042,-0.011902
-0.12343,0.000603,0.00027507
-0.098179,-0.012339,-0.027306
-0.12631,-0.012418,-0.052115
-0.12262,-0.055979,-0.025823
-0.11775,-0.056299,-0.01901
-0.12608,-0.016969,-0.004339
-0.12634,-0.023147,-0.051788
-0.10943,-0.0039729,-0.0050702
-0.11198,-0.0010571,-0.015989
-0.12134,-0.017694,-0.042036
-0.12413,5.4709e-05,4.6746e-05
-0.09949,-0.012905,-0.0047862
-0.10995,-0.035233,-0.042393
-0.12569,-0.0054016,-0.042015
-0.099211,-0.028756,-0.0041289
-0.12714,-0.061116,-0.01614
-0.12754,-0.022014,-0.019408
-0.10024,-0.020613,-0.000131
-0.10972,-0.0085886,-0.03631
-0.11018,-0.0076172,-0.016725
-0.11757,-0.018046,-0.0086441
-0.11238,-0.0094472,-0.0004483
-0.11257,-0.023617,-0.020088
-0.12503,-0.03541,-0.022006
-0.12209,-0.019482,-0.020066
-0.12581,-0.063904,-0.0048016
-0.11804,-0.036518,-0.010615
-0.12627,-0.057486,-0.0034244
-0.12185,-0.0043251,-0.010275
-0.11681,-0.057304,-0.018717
-0.10596,-0.015446,-0.013635
-0.13763,-0.056284,-0.03735
-0.1277,-0.012446,-0.054925
-0.10307,-0.003301,-0.0012283
-0.10508,-0.0022276,-0.0049596
-0.11808,-0.0044224,-0.0018168
-0.11146,-0.017349,-0.04291
-0.11724,-0.028105,-0.0089902
-0.12103,-0.06233,-0.0054079
-0.12152,-0.0067767,-0.020817
-0.12496,-0.034008,-0.053359
-0.11412,-0.015144,-0.0084266
-0.11575,-0.010055,-0.0025992
-0.11069,-0.020665,-0.010589
-0.11864,-0.0095838,-0.0055818
-0.1226,-0.015505,-0.053369
-0.12367,-0.060324,-0.015584
-0.099471,-0.0014416,-0.0024403
-0.1257,-0.039767,-0.04584
-0.11205,-0.058325,-0.00049065
-0.12587,-0.0047808,-0.0010316
-0.1092,-0.052563,-0.0045198
-0.11736,-0.0024921,-0.015595
-0.10568,-0.029163,-0.016254
-0.10597,-0.0051051,-0.017911
-0.13098,-0.015164,-0.054554
-0.13336,-0.038112,-0.052438
-0.10513,-0.022415,-0.019408
-0.12559,-0.0036397,-0.010303
-0.12644,-0.0011352,-0.0010354
-0.12764,-0.043901,-0.0097893
-0.1155,-0.0046342,-0.042617
-0.10878,-0.023906,-0.048277
-0.11291,-0.032739,-0.04262
-0.12538,-0.014317,-0.051936
-0.10502,-0.016145,-0.02468
-0.12291,-0.01835,-0.026432
-0.10892,-0.02033,-0.0022691
-0.13033,-0.0089202,-0.057069
-0.12829,-0.062957,-0.016252
