"Points:0","Points:1","Points:2"
-0.10419,-0.047718,-0.023486
-0.1061,-0.05386,-0.0078182
-0.10579,-0.052826,-0.0069051
-0.097883,-0.047213,-0.009522
-0.10721,-0.046882,-0.02533
-0.10671,-0.018771,-0.047401
-0.10678,-0.019988,-0.039816
-0.11453,-0.040374,-0.042562
-0.10246,-0.028097,-0.025721
-0.11148,-0.030457,-0.044253
-0.10846,-0.02685,-0.050095
-0.11039,-0.0069966,-0.051835
-0.099041,-0.0030488,-0.0053654
-0.10268,-0.020333,-0.01657
-0.11919,-0.034356,-0.050143
-0.10299,-0.031304,-0.043722
-0.099655,-0.015572,-0.00010484
-0.11227,-0.025072,-0.049919
-0.10107,-0.018548,-0.046467
-0.099699,-0.01379,-0.022001
-0.10654,-0.028098,-0.0167
-0.10733,-0.034291,-0.029376
-0.10083,-0.004247,-0.00036598
-0.10787,-0.0089519,-0.022298
-0.10116,-0.0067713,-0.00081947
-0.099162,-0.0016651,-0.0084148
-0.12021,-0.032697,-0.051908
-0.10941,-0.019777,-0.012184
-0.10746,-0.010772,-0.013766
-0.10113,-0.027719,-0.0029332
-0.10237,-0.045149,-0.025432
-0.11342,-0.024349,-0.051498
-0.10991,-0.0019292,-0.020551
-0.1021,-0.023362,-0.045492
-0.10846,-0.036786,-0.036445
-0.10935,-0.024844,-0.0076177
-0.11017,-0.0092672,-0.003983
-0.10659,-0.031531,-0.023365
-0.10625,-0.0088187,-0.017305
-0.11078,-0.0075036,-0.011244
-0.11224,-0.002633,-0.024163
-0.098881,-0.0025287,-0.012272
-0.10051,-0.020396,-0.012537
-0.10861,-0.00037287,-0.0013474
-0.12313,-0.043775,-0.044793
-0.11012,-0.0018784,-0.00096343
-0.099118,-0.003891,-0.0054938
-0.098549,0.00056623,0.00015021
-0.10705,-0.0020221,-0.020928
-0.12086,-0.030917,-0.036479
-0.11224,-0.024674,-0.00011065
-0.11796,-0.052532,-0.02871
-0.10113,-0.044748,-0.014852
-0.11404,-0.0047097,-0.034335
-0.11115,-0.031791,-0.013309
-0.10551,-0.018628,-0.045666
-0.12336,-0.050268,-0.037809
-0.11931,-0.011178,-0.037042
-0.10982,-0.045631,-0.0222
-0.11566,-0.057377,-0.017577
-0.10936,-0.0099254,-0.022529
-0.13025,-0.0014926,-0.065434
-0.12628,-0.026098,-0.05656
-0.10004,-0.013215,-0.011705
-0.11529,-0.004132,0.00023429
-0.10382,-0.0093414,-0.035676
-0.10461,-0.04682,-0.024077
-0.10278,-0.010045,-0.0076379
-0.126,-0.028942,-0.054267
-0.12302,-0.059114,-0.022735
-0.12359,-0.01985,-0.045082
-0.11484,-0.027462,-0.0079959
-0.11179,-0.006139,-0.0017039
-0.12402,-0.044328,-0.019039
-0.10667,-0.025622,-0.040987
-0.11123,-0.0020033,-0.041587
-0.10068,-0.021873,-0.018865
-0.11055,-0.013288,-0.021062
-0.11054,0.00020683,-0.00094639
-0.12957,-0.063911,-0.00054414
-0.09906,-0.0032238,-0.010908
-0.10503,-0.048604,-0.023853
-0.10469,-0.0054611,-0.016636
-0.11995,-0.023907,-0.031592
-0.11188,-0.032072,-0.015915
-0.11576,-0.013007,-0.033708
-0.12185,-0.044525,-0.028014
-0.11492,-0.030927,-0.013914
-0.1164,-0.047422,-0.024393
-0.1191,-0.034046,-0.018198
-0.11485,-0.05638,-0.013919
-0.11549,-0.0044445,-0.050849
-0.11421,-0.021703,-0.016654
-0.10435,-0.0015515,-0.010797
-0.11411,-0.0012189,-0.0011063
-0.11088,-0.039901,-0.0054172
-0.09845,-0.00070431,-0.0022091
-0.10867,-0.023182,-0.0028591
-0.11809,-0.024191,-0.037794
-0.11301,-0.021953,-0.047857
-0.11596,-0.016812,-0.0018743
-0.11948,-0.026843,-0.0017942
-0.11554,-0.029015,-0.0098566
-0.12398,-0.0067884,-0.029438
-0.11609,-0.0020243,-0.018025
-0.11793,-0.0051144,-0.0032941
-0.12274,-0.00023415,-0.007508
-0.10504,-0.010885,-0.0030749
-0.10224,-0.0071757,-0.018134
-0.1275,-0.055906,-0.013649
-0.099813,-0.0007949,-7.5482e-06
-0.11737,-0.0021124,-0.058388
-0.11856,-5.9163e-05,-0.0007166
-0.12162,-0.0030179,-0.0279
-0.12047,-0.038412,-0.02056
-0.11405,-0.018102,-0.037623
-0.10042,-0.0056046,-0.023727
-0.10802,-0.0096844,-0.0057177
-0.10924,-0.0082577,-0.012789
-0.11579,-0.006368,-0.025183
-0.10893,-0.010193,-0.0045454
-0.12385,-0.005819,-0.06199
-0.11848,-0.0066624,-0.013423
-0.11815,-0.0056129,-0.0094885
-0.11308,-0.013353,-0.0085808
-0.11755,-0.0051461,-0.010334
-0.13302,-0.049267,-0.043182
-0.11059,-0.0028667,-0.0041747
-0.12056,-0.024239,-0.050929
-0.11481,-0.0032872,-0.0068898
-0.10117,-0.0033073,-0.0010594
-0.12639,-0.034501,-0.018365
-0.10678,-0.015174,-0.014983
-0.13056,-0.062431,-0.014572
-0.1183,-0.023784,-0.055672
-0.11571,-0.0014119,-0.010947
-0.10803,-0.028061,-0.030601
-0.11674,-0.047964,-0.03047
-0.12305,-0.0068509,-0.033527
-0.1259,-0.046578,-0.027683
-0.10334,-0.0093408,-0.013238
-0.10962,-0.0031402,-0.0027046
-0.1118,-0.0015011,-0.046046
-0.12622,-0.01442,-0.00050164
-0.12591,-0.02327,-0.010722
-0.1067,-0.0012405,-0.00086828
-0.13043,-0.037595,-0.0041634
-0.13574,-0.031177,-0.057708
-0.10562,-0.0088432,-0.021241
-0.1319,-0.055204,-0.0078233
-0.12818,-0.014387,-0.035468
-0.12153,-0.0024272,-0.0023668
-0.11141,-0.0018548,-0.028473
-0.105,-0.0098781,-0.030033
-0.12633,-0.034233,-0.00066559
-0.11324,-0.00088919,-0.015809
-0.11656,-0.024537,-0.048625
-0.13051,-0.061472,-0.02431
-0.12185,-0.060774,-0.0017053
-0.1114,-0.00315,-0.0026239
-0.12777,-0.020337,-0.0095507
-0.13564,-0.0084154,-0.066343
-0.13424,-0.020659,-0.046254
-0.13593,-0.045992,-0.049018
-0.10327,-0.033434,-0.0034032
-0.10401,-0.0021037,-0.0012543
-0.11236,-0.019186,-0.0015263
-0.1317,-0.0075582,-0.033315
-0.1307,-0.012206,-0.039462
-0.11699,-0.058342,-0.011578
-0.12731,-0.0066665,-0.0053865
-0.12297,-0.0040602,-0.014687
-0.12498,-0.01164,-0.050439
-0.13021,-0.017827,-0.0078663
-0.13673,-0.048514,-0.032082
-0.10181,-0.018225,-0.0010286
-0.10551,-0.018368,-0.020603
-0.10902,-0.041654,-0.0059037
-0.11069,-0.023409,-0.013751
-0.10042,-0.015656,-0.0097116
-0.1199,-0.047881,-0.03555
-0.13129,-0.030865,-0.052679
-0.13093,-0.022751,-0.010883
-0.10382,-0.028509,-0.044731
-0.10948,-0.045063,-0.0015415
-0.12262,-0.01412,-0.026861
-0.11736,-0.023026,-0.027944
-0.11222,-0.05338,-0.024648
-0.13357,-0.029185,-0.049821
-0.12697,-0.00074265,-0.062457
-0.13151,-0.01402,-0.014614
-0.13381,-0.0075968,-0.056701
-0.10877,-0.012322,-0.017215
-0.13182,-0.025273,-0.0041265
