"Points:0","Points:1","Points:2"
-0.10093,-0.052884,-0.011129
-0.11034,-0.024858,-0.051057
-0.10428,-0.051574,-0.011451
-0.10541,-0.052874,-0.01132
-0.1072,-0.044008,-0.030917
-0.10667,-0.016977,-0.050859
-0.10516,-0.049898,-0.015386
-0.10445,-0.030988,-0.041324
-0.1015,-0.044029,-0.024007
-0.10889,-0.032735,-0.046915
-0.10757,-0.037546,-0.032954
-0.10442,-0.051759,-0.009269
-0.099001,-0.0090398,-0.026399
-0.10081,-0.043306,-0.0089881
-0.11968,-0.029481,-0.053642
-0.10041,-0.0038437,-0.013537
-0.11464,-0.029353,-0.047931
-0.11137,-0.045739,-0.02879
-0.10237,-0.003289,-0.019169
-0.10018,-0.0024193,-0.0081949
-0.098303,-0.030251,-0.0015357
-0.11507,-0.059678,-0.0039854
-0.099392,-0.026448,-0.032422
-0.10176,-0.042743,-0.020632
-0.10546,-0.0020079,-0.0066228
-0.10548,-0.0045436,-0.025455
-0.11801,-0.048975,-0.031746
-0.10022,-0.0059257,-8.4069e-06
-0.10454,-0.035628,-0.031536
-0.10095,-0.031116,-0.00034039
-0.10391,-0.011588,-0.016349
-0.12333,-0.059182,-0.016291
-0.10479,-0.0085102,-0.023055
-0.12118,-0.013803,-0.058317
-0.10688,-0.00034568,-0.0044459
-0.10882,-0.015788,-0.052005
-0.10489,-0.020436,-0.012529
-0.12224,-0.02438,-0.055616
-0.11024,-0.018277,-0.010958
-0.10087,-0.024716,-0.030309
-0.10579,-0.027483,-0.036139
-0.11003,-0.036355,-0.023904
-0.10064,-0.0057556,-0.025077
-0.10014,-0.0015226,-0.0048372
-0.11166,-0.021009,-0.0045896
-0.111,-0.025694,-0.01247
-0.11429,-0.05164,-0.016596
-0.10858,-0.0065079,-0.0056065
-0.11273,-0.04835,-0.026364
-0.1031,-0.011064,-0.0066733
-0.10335,-0.01384,-0.024476
-0.10871,-0.040141,-0.013986
-0.11304,-0.028349,-0.030328
-0.10992,-0.012368,-0.047546
-0.10268,0.00072469,-0.00047384
-0.10587,-0.053632,-0.015814
-0.099661,-0.00075711,-0.00014674
-0.099623,-0.036629,-0.003373
-0.11515,-0.049292,-0.01331
-0.11155,-0.011536,-0.024984
-0.10863,-0.0326,-0.044679
-0.10445,-0.0011083,-0.0054535
-0.10811,-0.036956,-0.039264
-0.10705,-0.0091288,-0.0081989
-0.11954,-0.03068,-0.035187
-0.12578,-0.041426,-0.048926
-0.10856,-0.021851,-0.030527
-0.11827,-0.0026809,-0.035187
-0.11517,-0.0059614,-0.0088036
-0.101,-0.001567,-0.004684
-0.10457,-0.031753,-0.01277
-0.1083,-0.0038597,-0.0025977
-0.11099,-0.016182,-0.01379
-0.12337,-0.0090265,-0.051305
-0.12094,-0.04549,-0.022779
-0.10624,-0.0018786,-0.036028
-0.11271,-0.022173,-0.025212
-0.10543,-0.011928,-0.038454
-0.11347,-0.047843,-0.02184
-0.10545,-0.011179,-0.010707
-0.11095,-0.0060397,-0.0080922
-0.11065,-0.030624,-0.011065
-0.11407,-0.0059697,-0.027877
-0.13288,-0.062867,-0.018418
-0.10368,-0.00027623,-0.00063284
-0.11962,-0.014385,-0.0071041
-0.10298,-0.0065565,-0.0041379
-0.11996,-0.018379,-0.0018129
-0.10442,-0.024449,-0.0076116
-0.097931,-0.043742,-0.018604
-0.12299,-0.0044885,-0.0616
-0.12294,-0.03631,-0.017674
-0.1097,-0.0071949,-0.025333
-0.11008,-0.0027543,-0.011665
-0.11016,-0.00314,-0.024284
-0.10947,-0.025156,-0.020333
-0.11328,-0.0044402,-0.0063226
-0.11559,-0.013102,-0.015323
-0.13006,-0.048694,-0.039912
-0.10776,-0.015439,-0.012638
-0.11173,-0.011949,-0.049724
-0.11349,0.00029927,-0.00043062
-0.1208,-0.00492,-0.0028211
-0.12367,-0.011991,-0.037667
-0.11622,-0.0018256,-0.059261
-0.10278,-0.012534,-0.0052599
-0.10032,-0.04092,-0.010191
-0.12269,-0.026563,-0.028828
-0.10579,-0.020537,-0.041637
-0.10489,-0.013801,-0.0088833
-0.12099,-0.038195,-0.012629
-0.12182,-0.016253,-0.029419
-0.11485,-0.0086838,-0.020315
-0.11033,-0.004391,-0.032059
-0.12926,-0.044083,-0.046143
-0.12643,-0.05492,-0.026294
-0.12713,-0.048633,-0.038663
-0.11028,-0.052099,-0.0037296
-0.11123,-0.0071302,-0.01177
-0.10436,-0.0056078,-0.0018458
-0.12035,-0.020489,-0.015222
-0.10449,-0.042703,-0.0098663
-0.12355,-0.027487,-0.020234
-0.11668,-0.0038481,-0.00061272
-0.11189,-0.022418,-0.027081
-0.1168,-0.031775,-0.0027827
-0.11452,-0.00259,-0.014666
-0.12293,-0.05867,-0.00017575
-0.13005,-0.047853,-0.018749
-0.098578,-0.0083326,-0.012965
-0.11143,-0.023004,-0.0026359
-0.13221,-0.062109,-0.015135
-0.11919,-0.007018,-0.053152
-0.11502,-0.0013718,-0.030703
-0.10627,-3.2608e-05,-0.00030265
-0.11662,-0.014108,-0.0025729
-0.12107,-0.014599,-0.0041492
-0.12771,-0.061989,-0.0017063
-0.111,-0.018829,-0.033644
-0.11799,-0.0044636,-0.0048212
-0.1268,-0.019687,-0.053769
-0.10878,-0.00707,-0.055926
-0.11222,3.1603e-05,0.00055689
-0.12549,-0.048863,-0.01762
-0.12076,-0.0075541,-0.03542
-0.12986,-0.04807,-0.0092716
-0.11905,-0.036715,-0.035491
-0.12624,-0.0055427,-0.0018411
-0.11674,-0.0098535,-0.021248
-0.12305,-0.03861,-0.016249
-0.12299,-0.00040893,-0.0021276
-0.11655,-0.019476,-0.038024
-0.12704,-0.0098076,-0.0041106
-0.11632,-0.01926,-0.0078686
-0.10519,-0.0041915,-0.00086836
-0.11823,-0.058575,-0.00049012
-0.11983,-0.020794,-0.0081285
-0.10182,-0.030853,-0.035165
-0.10737,-0.0018882,-0.029187
-0.10603,-0.0098227,-0.0065253
-0.11967,-0.01979,-0.008552
-0.11564,-0.0044112,-0.028739
-0.099729,-0.016268,-0.030774
-0.12958,-0.03103,-0.056789
-0.12509,-0.012332,-0.0016674
-0.1025,-0.025902,-0.0064125
-0.13039,-0.030608,-0.0012168
-0.12453,-0.056561,-0.0044705
-0.12938,-0.0094446,-0.03374
-0.11672,-0.0058302,-0.02132
-0.13211,-0.046098,-0.022843
-0.1058,-0.0090245,-0.053076
-0.1253,-0.0079257,-0.0018544
-0.13427,-0.0078704,-0.064164
-0.13623,-0.031766,-0.046188
-0.12321,-0.053449,-0.021003
-0.13546,-0.064893,-0.0076226
-0.1144,-0.0054497,-0.010169
-0.10112,0.00056172,-0.0038507
-0.13354,-0.033477,-0.030402
-0.12499,-0.0078282,-0.059518
-0.12224,-0.0083798,-0.00018699
-0.12356,-0.045629,-0.018751
-0.13021,-0.040685,-0.016742
-0.10844,-0.0067145,-0.0063466
-0.098731,-0.018253,-0.037273
-0.10853,-0.01142,-0.010606
-0.11916,-0.03512,-0.029575
-0.13062,-0.010684,-0.061981
-0.10618,-0.03206,-0.0092634
-0.13435,-0.0013197,-0.044552
-0.11487,-0.010293,-0.047938
-0.12945,-0.0047568,-0.0028458
-0.1045,-0.011409,-0.053604
-0.12048,-0.018058,-0.048361
-0.13063,-0.0021053,-0.00067386
-0.10594,-0.0032791,-0.009456
-0.12587,-0.026589,-0.027991
-0.1009,-0.015645,-0.021944
-0.13487,-0.036468,-0.031525
-0.11977,-0.0095493,-0.049528
-0.1158,-0.0047568,-0.0023994
-0.13186,-0.038025,-0.0092572
-0.1154,-0.0012714,-0.00090644
-0.12617,-0.057448,-0.027057
-0.11994,0.00034565,0.00044411
-0.11981,-0.041897,-0.037014
-0.12156,-0.016618,-0.023809
-0.10206,-0.037882,-0.0014135
-0.11408,-0.0022917,-0.0055459
-0.12923,-0.031107,-0.016204
-0.10552,-0.05248,-0.017234
-0.12433,-0.00081122,-0.027181
-0.11093,-0.00019464,-0.0010062
-0.12761,-0.0024774,-0.00097956
-0.12447,-0.054861,-0.021993
-0.13094,-0.0042573,-0.00567
-0.11073,-0.0026568,-0.00089413
-0.11753,-0.0035133,1.813e-05
-0.11289,-0.03664,-0.020678
-0.12408,0.00054787,0.00011615
-0.11947,-0.0022161,-0.00013988
-0.098737,-0.0099834,-0.00079115
-0.10031,-0.0068768,-0.027729
-0.11026,-0.00097393,-0.0010978
-0.10378,-0.00067106,-0.05475
-0.13181,-0.015142,-0.010291
-0.11367,-0.04907,-0.0017657
-0.12305,-0.02215,-0.058619
-0.1156,-0.018034,-0.042122
-0.11537,-0.014919,-0.0078676
-0.099998,-0.039812,-0.017934
-0.10286,-0.0060481,-0.037042
-0.13093,-0.006481,-0.0059072
-0.13063,-0.001943,-0.00059416
-0.12964,-0.0031405,-0.0029751
-0.13973,-0.038244,-0.046563
-0.117,-0.010871,-0.010449
-0.10712,-0.015442,-0.02912
-0.12326,-0.0032598,-0.018841
-0.13989,-0.01482,-0.067521
-0.13287,-0.026381,-0.046589
-0.1355,-0.0042661,-0.024104
-0.098659,-0.019276,-0.016949
-0.13752,-0.016144,-0.038534
-0.12858,-0.02084,-0.0045469
-0.12493,-0.062484,-0.010603
-0.098485,-0.0001205,-0.0025555
-0.1337,-0.018527,-0.0086591
-0.11576,-0.0543,-0.020155
-0.10631,-0.034049,-0.011134
-0.11823,-0.028308,-0.050736
-0.11579,0.00050321,-0.00061589
-0.12784,-0.019923,-0.028483
-0.13121,-0.0048596,-0.0030705
-0.12061,-0.045933,-0.019406
-0.12333,-0.0030213,-0.00036217
-0.12483,-0.011482,-0.015765
-0.13646,-0.035877,-0.032786
-0.13115,-0.022921,-0.0080398
-0.13132,-0.02793,-0.039492
-0.12628,-0.038049,-0.02682
-0.10838,-0.020805,-0.0032916
-0.11735,0.0010212,0.00012677
-0.10688,-0.01745,-0.0038336
-0.10395,-0.021334,-0.0030627
-0.12184,-1.4034e-06,-0.0073585
-0.13599,-0.049319,-0.011348
-0.14004,-0.048728,-0.019959
-0.13314,-0.040479,-0.00019329
-0.13536,-0.023486,-0.027099
-0.10678,-0.020618,-0.0020555
-0.12817,-0.0082259,0.00049205
-0.13864,-0.021375,-0.031285
-0.13727,-0.057041,-0.019998
-0.13727,-0.018637,-0.0078133
-0.10325,-0.050205,-0.012823
-0.13542,-0.02793,-0.011203
-0.13803,-0.056377,-0.038663
-0.12024,-0.018054,-0.0036503
-0.12857,-0.030348,-0.04849
-0.11268,-0.028829,-0.0095391
-0.13629,-0.0012836,-0.009129
-0.12678,-0.0015762,-0.0077557
-0.13876,-0.0080701,-0.059745
-0.11817,-0.015461,-0.040891
-0.12561,-0.052631,-0.032972
-0.1379,-0.029548,-0.0068734
-0.13439,-0.039916,-0.05348
-0.13273,-0.039919,-0.022865
-0.12838,-0.060928,-0.0094286
-0.13385,-0.047396,-0.0079085
-0.12039,-0.039685,-0.04196
-0.14073,-0.017608,-0.03153
-0.13568,-0.047505,-0.04775
-0.13628,-0.020268,-0.046611
-0.10661,-0.0032244,-0.033103
-0.13938,-0.03581,-0.029677
-0.12038,-0.0079082,-0.0034337
-0.13752,-0.057568,-0.030706
-0.14297,-0.026046,-0.064062
-0.11136,-0.0029005,-0.0038492
-0.11461,-0.019515,-0.047273
-0.14356,-0.0023787,-0.069637
-0.13366,-0.012496,-0.0085331
-0.13061,-0.0016274,-0.0061673
-0.11951,-0.0029384,-0.020081
-0.13892,-0.0217,-0.017528
-0.13085,-0.0016969,-0.0090884
-0.14375,-0.026315,-0.055555
-0.10057,-0.018512,-0.014458
-0.1163,-0.009032,-0.021163
-0.11656,-0.04759,-0.030338
-0.12087,-0.05505,-0.024914
-0.1242,-0.032966,-0.02126
-0.1215,-0.013813,-0.022056
-0.13734,-0.022445,-0.063546
-0.14206,-0.032823,-0.035664
-0.12997,-0.022535,-0.00096326
-0.12178,-0.008942,-0.0031393
-0.14236,-0.060723,-0.034127
-0.1435,-0.06092,-0.034507
-0.13517,-0.059565,-0.028376
-0.13718,-0.028735,-0.054542
-0.1417,-0.01096,-0.06741
-0.13597,-0.010106,-0.033267
-0.13377,-0.0027389,-0.00089408
-0.11444,-0.0063088,-0.033827
-0.13961,-0.023513,-0.058497
-0.12352,-0.011497,-0.030079
-0.12691,-0.0011332,-0.010735
-0.13895,-0.045405,-0.017137
-0.13021,-0.0002216,-0.0033965
-0.13997,-0.0005966,-0.006156
-0.099135,0.00065632,-0.0066936
-0.12459,-0.0011184,-0.03268
-0.1098,-0.051871,-0.021634
-0.12195,-0.0061562,-0.0077148
-0.12948,-0.020036,-0.019753
-0.14172,-0.023315,-0.031925
-0.11236,-0.024685,-0.041519
-0.12546,-0.00021896,-0.0090423
-0.12154,-0.0043706,-0.0065633
-0.11741,0.0011311,-0.0037155
-0.12852,-0.0142,-0.044804
-0.14037,-0.023389,-0.036936
-0.13323,-0.0021587,-0.01801
-0.14012,-0.0070214,-0.011398
-0.14158,-0.00029835,-0.013069
-0.1173,-0.016134,-0.016345
-0.13047,-0.0040267,-0.0052374
-0.14093,-0.021826,-0.043363
-0.099898,-0.048366,-0.0064554
-0.13288,-0.014188,-0.0078785
-0.13121,-0.0045708,-0.0036355
-0.10898,-0.045092,-0.033037
-0.14248,-0.043078,-0.019029
-0.12295,-0.0041379,-0.026339
-0.12861,-0.035734,-0.012078
-0.12934,-0.048785,-0.0015906
-0.14525,-0.047225,-0.021691
-0.11101,-0.00055743,-0.016971
-0.12962,-0.044492,-0.010865
-0.14319,0.00013837,-0.0044774
-0.14057,-0.0050841,0.00012706
-0.11027,-0.033488,-0.013354
-0.1388,-0.00021631,-0.0001457
-0.14217,-0.015308,-0.0045356
-0.13088,-0.020313,-0.04412
-0.10081,-0.020248,-0.0064273
-0.11634,-0.029606,-0.010281
-0.13111,0.00043796,-0.0036861
-0.13604,-0.00039223,-0.0021136
-0.10267,-0.015355,-0.00017326
-0.12495,-0.024999,-0.0062831
-0.13272,-0.049611,-0.020577
-0.11785,-0.029224,-0.0081038
-0.14867,-0.018682,-0.058232
-0.13609,-0.033432,-0.0035431
-0.12992,-0.0040653,-0.0031237
-0.14183,-0.0051389,-0.058777
-0.10843,0.00048113,0.00071658
-0.14749,-0.058638,-0.0019505
-0.14116,-0.051609,-0.030127
-0.12915,-0.003448,-0.0013254
-0.13107,-0.00571,-0.040044
-0.14371,-0.0018043,-0.0060357
-0.13777,-0.03142,-0.056712
-0.13016,-0.017544,-0.030097
-0.13221,-0.0020199,-0.00063564
-0.14576,-0.014349,-0.035024
-0.14429,-0.01326,-0.0040274
-0.13502,-0.046688,-0.0011854
-0.14824,-0.0028415,-0.06867
-0.11011,-0.050173,-0.018368
-0.13907,-0.049408,-0.046531
-0.13928,-0.017438,-0.011641
-0.13826,-0.032497,-0.0026747
-0.10751,-0.010349,0.00016518
-0.14566,-0.0031983,-0.010065
-0.1212,-0.012043,-0.056488
-0.14473,-0.032677,-0.059171
-0.14127,-0.066117,-0.015996
-0.10546,-0.0061955,-0.012304
-0.12787,-0.00031477,-0.012687
-0.14449,-0.05941,-0.014085
-0.14473,-0.045706,-0.047456
-0.14645,-0.0080833,-0.024993
-0.14844,-0.0099911,-0.066869
-0.14131,0.00050491,9.4696e-05
-0.14615,-0.060774,-0.017254
-0.14785,-0.023756,-0.05125
-0.13857,-0.031183,-0.036547
-0.14059,-0.0077549,-0.0016532
-0.11299,-0.0097423,-0.0050016
-0.13237,-0.0019985,-0.0039451
-0.14704,-0.012363,-0.062377
-0.1439,-0.0041982,-0.0020092
-0.13998,-0.031252,-0.047744
-0.12825,-0.0033362,-0.034297
-0.12607,-0.032669,-0.0015805
-0.14152,0.00023716,-0.0080918
-0.13961,-0.04243,-0.026821
-0.13127,-0.0048728,-0.0024015
-0.14147,-0.016435,-0.011632
-0.12802,-0.00069121,-0.0054215
-0.14569,-0.043375,-0.0080722
-0.14546,-0.0014019,-0.016389
-0.12241,-0.0082379,-0.0003266
-0.14274,-0.0003919,-0.00027917
-0.11374,-0.022671,-0.010611
-0.13406,-0.0093934,-0.0017088
-0.11385,-0.0044622,-0.0025826
-0.13019,0.00060649,0.00086587
-0.11927,-0.055067,-0.023712
-0.12773,-0.011307,-0.011945
-0.14518,-0.017882,-0.0011808
-0.14117,-0.014237,-0.067675
-0.1288,-0.020079,-0.026
-0.12271,-0.0071295,-0.019672
-0.10019,-0.048288,-0.00086748
-0.13504,-0.0055043,-0.062885
-0.13587,-0.011697,-0.00081308
-0.14448,-0.00363,-0.014919
-0.14473,-0.025705,-0.018348
-0.1403,-0.017952,-0.0036896
-0.13764,-0.026397,-0.04436
-0.14952,-0.039156,-0.0096427
-0.12487,-0.0057812,-0.018045
-0.11363,-0.040843,-0.0055642
-0.14819,-0.019036,-0.0069959
-0.14792,-0.01822,-0.012885
-0.12082,-0.043041,-0.042917
-0.13177,-0.018893,-0.0029892
-0.15085,-0.053182,-0.018808
-0.13658,-0.012159,-0.0033772
-0.13032,-0.0097886,-0.0073839
-0.14445,-0.010559,-0.059624
-0.12824,-0.020359,-0.0043493
