"Points:0","Points:1","Points:2"
-0.15393,-0.052388,-0.0017812
-0.1479,-0.053765,-0.00025774
-0.11733,-0.045834,-0.0018096
-0.11068,-0.045496,-0.00015019
-0.10804,-0.044587,-0.0017456
-0.15831,-0.055972,-0.0017773
-0.12491,-0.050787,-0.0006374
-0.1201,-0.048413,-0.00021308
-0.10961,-0.049823,-0.0019675
-0.099015,-0.046921,-0.00047476
-0.14054,-0.060019,-0.0026931
-0.13863,-0.063402,-0.0023759
-0.12972,-0.060346,-0.00069768
-0.12077,-0.060276,-0.0006822
-0.12507,-0.062181,-0.0013508
-0.11067,-0.054775,-0.0022037
-0.14123,-0.068679,-0.0016806
-0.14038,-0.068038,-0.0023328
-0.10055,-0.049908,-0.00098121
-0.1564,-0.051053,-0.0034089
-0.15955,-0.05575,-0.0055372
-0.13166,-0.049531,-0.0034553
-0.10126,-0.04259,-0.0022694
-0.14937,-0.055282,-0.0034141
-0.13777,-0.053047,-0.0041163
-0.13164,-0.054169,-0.0032012
-0.1431,-0.059887,-0.0042872
-0.11178,-0.052193,-0.0037589
-0.14681,-0.066424,-0.0040279
-0.11871,-0.058674,-0.0063076
-0.10547,-0.054198,-0.0052204
-0.11123,-0.056324,-0.0043966
-0.14636,-0.04568,-0.0043288
-0.1331,-0.04535,-0.0053661
-0.15731,-0.051361,-0.0078082
-0.14831,-0.050253,-0.0051836
-0.14742,-0.05134,-0.0055928
-0.14702,-0.054423,-0.0060429
-0.16714,-0.060554,-0.0082392
-0.16666,-0.061601,-0.0089494
-0.16443,-0.059793,-0.0094636
-0.16048,-0.059149,-0.0079185
-0.13801,-0.056946,-0.0072697
-0.11226,-0.053239,-0.0079629
-0.10175,-0.050849,-0.0075819
-0.12675,-0.059727,-0.0097785
-0.10476,-0.053067,-0.0082238
-0.12898,-0.064644,-0.01119
-0.1392,-0.065686,-0.011523
-0.11886,-0.060753,-0.0086998
-0.11793,-0.058826,-0.010637
-0.16454,-0.071959,-0.012414
-0.138,-0.067533,-0.01137
-0.12578,-0.061365,-0.0087192
-0.13575,-0.065643,-0.01155
-0.12191,-0.0614,-0.008347
-0.14807,-0.046746,-0.0085073
-0.16167,-0.051048,-0.0097343
-0.14655,-0.048921,-0.0071376
-0.14857,-0.048985,-0.0073948
-0.17076,-0.054167,-0.012137
-0.14335,-0.050338,-0.0088202
-0.16749,-0.057496,-0.010557
-0.15715,-0.056549,-0.01189
-0.13037,-0.050642,-0.0094185
-0.15681,-0.054527,-0.012102
-0.1489,-0.060293,-0.013235
-0.12338,-0.054706,-0.011362
-0.12827,-0.057126,-0.010107
-0.16589,-0.066657,-0.013902
-0.15374,-0.06541,-0.01373
-0.11262,-0.05561,-0.011562
-0.10278,-0.052882,-0.012533
-0.14062,-0.065644,-0.0148
-0.1133,-0.057995,-0.012244
-0.1042,-0.053386,-0.012036
-0.13982,-0.06688,-0.013356
-0.1116,-0.054089,-0.010119
-0.15191,-0.043738,-0.010045
-0.11007,-0.037461,-0.0066278
-0.11302,-0.040916,-0.010218
-0.14939,-0.050584,-0.011317
-0.1334,-0.046532,-0.012034
-0.10348,-0.040336,-0.008633
-0.15581,-0.055603,-0.015714
-0.14976,-0.060206,-0.018073
-0.13485,-0.061534,-0.01603
-0.13488,-0.059638,-0.016857
