"Points:0","Points:1","Points:2"
-0.10331,-0.048415,-0.020347
-0.10086,-0.050885,-0.0097729
-0.099002,-0.047291,-0.011992
-0.10075,-0.04752,-0.013805
-0.1074,-0.051895,-0.020915
-0.098076,-0.0451,-0.0013913
-0.10483,-0.034753,-0.038727
-0.099552,-0.038025,-0.019733
-0.10171,-0.046679,-0.012868
-0.11078,-0.054156,-0.017379
-0.10817,-0.048514,-0.022128
-0.099532,-0.0062566,-0.043449
-0.11143,-0.047407,-0.030711
-0.1079,-0.0088131,-0.053682
-0.10264,-0.036464,-0.0015622
-0.11201,-0.03731,-0.04548
-0.11396,-0.054529,-0.013478
-0.10086,-0.026872,-0.039884
-0.098396,-0.017112,-0.018197
-0.11086,-0.040878,-0.033067
-0.11132,-0.042039,-0.036849
-0.10077,-0.014641,-0.025874
-0.10241,-0.038392,-0.02319
-0.10648,-0.039748,-0.0096937
-0.1166,-0.034453,-0.049225
-0.11225,-0.014762,-0.052
-0.098384,-0.016281,-0.018744
-0.11725,-0.016884,-0.05725
-0.10328,-0.01056,-0.026458
-0.10574,-0.05447,-0.0036965
-0.10401,-0.032413,-0.021803
-0.11364,-0.052972,-0.019247
-0.11714,-0.03082,-0.051168
-0.11707,-0.017348,-0.056857
-0.098942,-0.0031076,-0.00079426
-0.1115,-0.0035165,-0.052113
-0.11122,-0.044024,-0.011412
-0.10462,-0.027501,-0.048039
-0.10114,-0.012767,-0.018332
-0.12414,-0.036018,-0.049387
-0.11039,-0.041372,-0.036848
-0.10185,-0.0070403,-0.016841
-0.11094,-0.042614,-0.015274
-0.10872,-0.022815,-0.00194
-0.10712,-0.01587,-0.051018
-0.12382,-0.029702,-0.053503
-0.10774,-0.053453,-0.011264
-0.11459,-0.016555,-0.052299
-0.10519,-0.0011191,-0.037552
-0.11324,-0.030989,-0.036812
-0.10404,-0.023528,-0.0051263
-0.11986,-0.03899,-0.04237
-0.10536,-0.050829,-0.021676
-0.12119,-0.0046647,-0.059117
-0.10167,-0.046346,-0.020619
-0.11563,-0.058987,-0.011013
-0.10957,-0.0058224,-0.0060828
-0.10229,-0.030916,-0.018303
-0.10753,-0.015221,-0.026441
-0.12209,-0.018248,-0.057591
-0.10923,-0.00077269,9.7861e-05
-0.10895,-0.0030457,-0.0026522
-0.10586,-0.0020987,-0.00031148
-0.10329,-0.012539,-0.0043482
-0.1067,-0.013197,-0.028664
-0.12161,-0.011941,-0.060196
-0.11438,-0.037311,-0.044819
-0.12706,-0.056961,-0.026558
-0.11925,-0.058013,-0.014701
-0.0989,-0.0031737,-0.0026403
-0.10478,-0.011437,-0.02131
-0.098563,-0.019689,-0.0069969
-0.098767,-0.039806,-0.021347
-0.11567,-0.049505,-0.010647
-0.10779,-0.014325,-0.048436
-0.10766,0.00016667,0.00025986
-0.10074,-0.0020452,-0.0015924
-0.11487,-0.022173,-0.052295
-0.10555,-0.020415,-0.025811
-0.10503,-0.025202,-0.017275
-0.11419,-0.0036074,-0.056771
-0.1048,-0.01074,-0.016466
-0.1232,-0.051521,-0.035938
-0.11602,-0.0011443,-0.019831
-0.10364,-0.0024637,-0.0024063
-0.105,-0.0080962,-0.0012712
-0.11645,-0.0086988,-0.036549
-0.11449,-0.059151,-0.0043798
-0.12719,-0.062175,-0.00036972
-0.10875,-0.016081,-0.012875
-0.10748,-0.0080562,-0.00058803
-0.10077,-0.022458,-0.022277
-0.11939,-0.053341,-0.011722
-0.1187,-0.030889,-0.013399
-0.11117,-0.027181,-0.017143
-0.10512,-0.016458,-0.020659
-0.11439,-0.027372,-0.0015454
-0.13157,-0.037288,-0.053841
-0.11551,-0.0011087,-0.0048332
