"Points:0","Points:1","Points:2"
-0.10025,-0.02711,-0.042017
-0.1021,-0.0021349,-0.05364
-0.1012,-0.046416,-0.018568
-0.10821,-0.050052,-0.02433
-0.10583,-0.018869,-0.049848
-0.11171,-0.044936,-0.032372
-0.098032,-0.015039,-0.040398
-0.098506,-0.028314,-0.036755
-0.098273,-0.020092,-0.026354
-0.097966,-0.014684,-0.046607
-0.10142,-0.028,-0.02462
-0.1032,-0.053582,-0.012735
-0.1003,-0.046405,-0.023424
-0.10856,-0.038558,-0.041272
-0.11562,-0.0027572,-0.057102
-0.10819,-0.051124,-0.021758
-0.10702,-0.051339,-0.013186
-0.11296,-0.045636,-0.032398
-0.11759,-0.028041,-0.051399
-0.10246,-0.019533,-0.0099878
-0.10639,-0.014488,-0.032327
-0.11403,-0.04745,-0.034119
-0.10041,-0.029018,-0.016933
-0.10971,-0.0050542,-0.040796
-0.10479,-0.040611,-0.035265
-0.10447,-0.02926,-0.042875
-0.10159,-2.2481e-05,-0.0014269
-0.10794,-0.0064494,-0.054682
-0.11012,-0.012204,-0.041763
-0.10315,-0.0044208,-0.011061
-0.11364,-0.05247,-0.021092
-0.10362,-0.0084592,-0.030481
-0.10429,-0.037467,-0.011656
-0.10895,-0.030416,-0.034779
-0.10262,-0.010335,-0.0025293
-0.09908,-0.02627,-0.010141
-0.10063,-0.037539,-0.0049989
-0.10417,-0.020991,-0.024189
-0.10302,-0.026962,-0.0014108
-0.10121,-0.028239,-0.023297
-0.10371,-0.0015536,-0.002104
-0.099052,-0.04329,-0.025143
-0.10325,-0.016145,-0.019503
-0.10898,-0.043161,-0.0065399
-0.11532,-0.034987,-0.041122
-0.10913,-0.022651,-0.027642
-0.10881,-0.053973,-0.0067454
-0.10804,-0.025304,-0.0032259
-0.10455,-0.013557,-0.0022479
-0.11687,-0.056852,-0.019928
-0.10884,-0.040772,-0.012968
-0.10189,-0.027928,-0.00047497
-0.10259,-0.0015154,-5.9647e-05
-0.098954,-0.013778,-0.0072168
-0.10617,-0.050984,-0.021001
-0.11229,-0.035866,-0.045028
-0.099036,-0.0077941,-0.0052975
-0.10209,-0.015344,-0.0033602
-0.10617,-0.023584,-0.039414
-0.10659,-0.0041219,-0.0016694
-0.1098,-0.010084,-0.037277
-0.11036,-0.051061,-0.021106
-0.11606,-0.018336,-0.056899
-0.1174,-0.017503,-0.056965
-0.10329,-0.0063984,-0.017889
-0.10661,-0.0039101,-0.017401
-0.10283,-0.041056,-0.0020509
-0.097918,-0.043017,-0.022776
-0.11307,-0.029057,-0.019372
-0.10265,-0.0036074,-0.0028114
-0.11762,-0.019232,-0.056232
-0.12051,-0.051456,-0.010837
-0.12143,-0.050333,-0.029679
-0.098817,-0.00057456,-0.0014456
-0.10912,-0.012523,-0.0094659
-0.10615,-0.0052686,-0.0048576
-0.12023,-0.042314,-0.042792
-0.10579,-0.044872,-0.0061644
-0.099724,-0.011794,-0.012925
-0.1118,-0.032507,-0.048637
-0.12175,-0.038794,-0.031935
-0.10704,-0.046344,-0.0044199
-0.12483,-0.0045298,-0.061809
-0.10965,-0.035526,-0.041602
-0.11529,-0.00414,-0.059474
-0.10823,-0.031064,-0.013076
-0.10983,-0.0095634,-0.012817
-0.11875,-0.032776,-0.034474
-0.12062,-0.051681,-0.033974
-0.1153,-0.011238,-0.020368
-0.10345,-0.052336,-0.0098138
-0.10665,-0.016939,-0.024478
-0.10619,-0.019856,-0.052175
-0.12321,-0.0064714,-0.051517
-0.10678,-0.00089509,-0.042911
-0.10137,-0.0058728,-0.032598
-0.1071,-0.0085882,-0.034651
